school_name,Type,Grades,Location in Hamilton,year,enrolment,capacity,utilization_rate,portables,Site Acres,Building Gross (Ft2),gym,gym with stage,Number of gyms,Computer lab,Childcare Centre on site,auditorium,rec_centre,pool,Library,Cafeteria , Document 
Hillcrest,Elementary,(JK-8),East Hamilton,2012,483,690,0.7,0,5.71,"74,004",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Hillcrest,Elementary,(JK-8),East Hamilton,2017,389,690,0.56,0,5.71,"74,004",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Hillcrest,Elementary,(JK-8),East Hamilton,2022,331,690,0.48,0,5.71,"74,004",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Parkdale,Elementary,(JK-5),East Hamilton,2012,175,291,0.6,0,3.62,"42,658",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Parkdale,Elementary,(JK-5),East Hamilton,2017,187,291,0.64,0,3.62,"42,658",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Parkdale,Elementary,(JK-5),East Hamilton,2022,179,291,0.61,0,3.62,"42,658",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Rosedale,Elementary,(JK-5),East Hamilton,2012,149,236,0.63,0,2.78,"20,958",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Rosedale,Elementary,(JK-5),East Hamilton,2017,114,236,0.48,0,2.78,"20,958",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Rosedale,Elementary,(JK-5),East Hamilton,2022,118,236,0.5,0,2.78,"20,958",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Roxborough Park,Elementary,(JK-5),East Hamilton,2012,220,371,0.59,0,4.32,"34,006",Yes,No,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf') and East-hamilton-City-1Épdf"
Roxborough Park,Elementary,(JK-5),East Hamilton,2017,178,371,0.48,0,4.32,"34,006",Yes,No,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Roxborough Park,Elementary,(JK-5),East Hamilton,2022,171,371,0.46,0,4.32,"34,006",Yes,No,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Viscount Montgomery,Elementary,(JK-8),East Hamilton,2012,345,469,0.74,0,6.6,"51,308",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Viscount Montgomery,Elementary,(JK-8),East Hamilton,2017,338,469,0.72,0,6.6,"51,308",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Viscount Montgomery,Elementary,(JK-8),East Hamilton,2022,323,469,0.69,0,6.6,"51,308",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
W.H. Ballard,Elementary,(JK-8),East Hamilton,2012,577,837,0.69,0,2.68,"90,856",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
W.H. Ballard,Elementary,(JK-8),East Hamilton,2017,510,837,0.61,0,2.68,"90,856",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
W.H. Ballard,Elementary,(JK-8),East Hamilton,2022,462,837,0.55,0,2.68,"90,856",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, East-hamilton-City-1Épdf"
Woodward,Elementary,(JK-5),East Hamilton,2012,131,201,0.65,0,4.25,"21,671",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf') and East-hamilton-City-1Épdf"
Woodward,Elementary,(JK-5),East Hamilton,2017,128,201,0.64,0,4.25,"21,671",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Woodward,Elementary,(JK-5),East Hamilton,2022,128,201,0.64,0,4.25,"21,671",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Beverly Central,Elementary,(JK-5),West Flamborough,2012,166,213,0.78,0,4,"23,188",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Beverly Central,Elementary,(JK-5),West Flamborough,2017,128,213,0.6,0,4,"23,188",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Beverly Central,Elementary,(JK-5),West Flamborough,2022,121,213,0.57,0,4,"23,188",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Dr. Seaton,Elementary,(JK-8),West Flamborough,2012,243,348,0.7,0,14.27,"36,250",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Dr. John Seaton,Elementary,(JK-8),West Flamborough,2017,204,348,0.59,0,14.27,"36,250",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Dr. Seaton,Elementary,(JK-8),West Flamborough,2022,183,348,0.53,0,14.27,"36,250",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Rockton Elementary,Elementary,(JK-8),West Flamborough,2020,,347,,,,"40,000",,,,,,,,,,,New-Beverly-Central-Construction-Update pdf
Greensville,Elementary,(JK-5),West Flamborough,2012,197,248,0.79,1,4.85,"23,026",Yes ,Yes,1,Yes ,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Greensville,Elementary,(JK-5),West Flamborough,2017,169,248,0.68,1,4.85,"23,026",Yes ,Yes,1,Yes ,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Greensville,Elementary,(JK-5),West Flamborough,2022,160,248,0.64,1,4.85,"23,026",Yes ,Yes,1,Yes ,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Millgrove,Elementary,(JK-5),West Flamborough,2012,183,227,0.81,1,3.55,"18,000",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Millgrove,Elementary,(JK-5),West Flamborough,2017,174,227,0.76,1,3.55,"18,000",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Millgrove,Elementary,(JK-5),West Flamborough,2022,167,227,0.73,1,3.55,"18,000",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
